id,amountInBucket,inheritedFromLastWeek,amountToDeduct
0,0,False,0
1,0,False,0
2,0,False,0
3,0,False,0
4,0,False,0
5,0,False,0
6,0,False,0
7,0,False,0
8,0,False,0
9,0,False,0
10,0,False,0
11,0,False,0
12,0,False,0
13,0,False,0
14,0,False,0
15,0,False,0
16,1000,True,0
17,1000,True,0
18,2000,True,0
19,3000,True,0
20,4000,True,0
21,5000,True,0
22,6000,True,0
23,7000,True,0
24,8000,True,0
25,9000,True,0
26,10000,True,0
27,11000,True,0
28,12000,True,0
29,13000,True,0
30,14000,True,0
31,15000,True,0
32,16000,True,0
33,17000,True,0
34,18000,True,0
35,19000,True,0
36,19000,True,0
37,19000,True,0
38,19000,True,0
39,19000,True,0
40,19000,True,0
41,19000,True,0
42,19000,True,0
43,19000,True,0
44,19000,True,0
45,19000,True,0
46,19000,True,0
47,19000,True,0
48,19000,True,0
49,19000,True,0
50,19000,True,0
51,19000,True,0
52,19000,True,0
53,19000,True,0
54,19000,True,0
55,19000,True,0
56,19000,True,0
57,19000,True,0
58,19000,True,0
59,19000,True,0
60,19000,True,0
61,19000,True,0
62,19000,True,0
63,19000,True,0
64,19000,True,0
65,19000,True,0
66,19000,True,0
67,19000,True,0
68,19000,True,0
69,19000,True,0
70,19000,True,0
71,19000,True,0
72,19000,True,0
73,19000,True,0
74,19000,True,0
75,19000,True,0
76,19000,True,0
77,19000,True,0
78,19000,True,0
79,19000,True,0
80,19000,True,0
81,19000,True,0
82,19000,True,0
83,19000,True,0
84,19000,True,0
85,19000,True,0
86,19000,True,0
87,19000,True,0
88,19000,True,0
89,19000,True,0
90,19000,True,0
91,19000,True,0
92,19000,True,0
93,19000,True,0
94,19000,True,0
95,19000,True,0
96,19000,True,0
97,19000,True,0
98,19000,True,0
99,19000,True,0
100,19000,True,0
101,19000,True,0
102,19000,True,0
103,19000,True,0
104,19000,True,0
105,19000,True,0
106,19000,True,0
107,19000,True,0
108,19000,True,0
109,19000,True,0
110,19000,True,0
111,19000,True,0
112,19000,True,0
113,19000,True,0
114,19000,True,0
115,19000,True,0
116,19000,True,0
117,19000,True,0
118,19000,True,0
119,19000,True,0
120,19000,True,0
121,19000,True,0
122,19000,True,0
123,19000,True,0
124,19000,True,0
125,19000,True,0
126,19000,True,0
127,19000,True,0
128,19000,True,0
129,19000,True,0
130,19000,True,0
131,19000,True,0
132,19000,True,0
133,19000,True,0
134,19000,True,0
135,19000,True,0
136,19000,True,0
137,19000,True,0
138,19000,True,0
139,19000,True,0
140,19000,True,0
141,19000,True,0
142,19000,True,0
143,19000,True,0
144,19000,True,0
145,19000,True,0
146,19000,True,0
147,19000,True,0
148,19000,True,0
149,19000,True,0
150,19000,True,0
151,19000,True,0
152,19000,True,0
153,19000,True,0
154,19000,True,0
155,19000,True,0
156,19000,True,0
157,19000,True,0
158,19000,True,0
159,19000,True,0
160,19000,True,0
161,19000,True,0
162,19000,True,0
163,19000,True,0
164,19000,True,0
165,19000,True,0
166,19000,True,0
167,19000,True,0
168,19000,True,0
169,19000,True,0
170,19000,True,0
171,19000,True,0
172,19000,True,0
173,19000,True,0
174,19000,True,0
175,19000,True,0
176,19000,True,0
177,19000,True,0
178,19000,True,0
179,19000,True,0
180,19000,True,0
181,19000,True,0
182,19000,True,0
183,19000,True,0
184,19000,True,0
185,19000,True,0
186,19000,True,0
187,19000,True,0
188,19000,True,0
189,19000,True,0
190,19000,True,0
191,19000,True,0
192,19000,True,0
193,19000,True,0
194,19000,True,0
195,19000,True,0
196,19000,True,0
197,19000,True,0
198,19000,True,0
199,19000,True,0
200,19000,True,0
201,19000,True,0
202,19000,True,0
203,19000,True,0
204,19000,True,0
205,19000,True,0
206,19000,True,0
207,19000,True,0
208,19000,True,0
209,19000,True,0
210,19000,True,0
211,19000,True,0
212,19000,True,0
213,19000,True,0
214,19000,True,0
215,19000,True,0
216,19000,True,0
217,19000,True,0
218,19000,True,0
219,19000,True,0
220,19000,True,0
221,19000,True,0
222,19000,True,0
223,19000,True,0
224,19000,True,0
225,19000,True,0
226,20000,True,0
227,21000,True,0
228,22000,True,0
229,23000,True,0
230,24000,True,0
231,25000,True,0
232,26000,True,0
233,27000,True,0
234,28000,True,0
235,29000,True,0
236,30000,True,0
237,31000,True,0
238,32000,True,0
239,33000,True,0
240,34000,True,0
241,35000,True,0
242,36000,True,0
243,37000,True,0
244,38000,True,0
245,39000,True,0
246,39000,True,0
247,39000,True,0
248,39000,True,0
249,39000,True,0
250,39000,True,0
251,39000,True,0
252,39000,True,0
253,39000,True,0
254,39000,True,0
255,39000,True,0
256,39000,True,0
257,39000,True,0
258,39000,True,0
259,39000,True,0
260,39000,True,0
261,39000,True,0
262,39000,True,0
263,39000,True,0
264,39000,True,0
265,39000,True,0
266,39000,True,0
267,39000,True,0
268,39000,True,0
269,39000,True,0
270,39000,True,0
271,39000,True,0
272,39000,True,0
273,39000,True,0
274,39000,True,0
275,39000,True,0
276,39000,True,0
277,39000,True,0
278,39000,True,0
279,39000,True,0
280,39000,True,0
281,39000,True,0
282,39000,True,0
283,39000,True,0
284,39000,True,0
285,39000,True,0
286,39000,True,0
287,39000,True,0
288,39000,True,0
289,39000,True,0
290,39000,True,0
291,39000,True,0
292,39000,True,0
293,39000,True,0
294,39000,True,0
295,39000,True,0
296,39000,True,0
297,39000,True,0
298,39000,True,0
299,39000,True,0
300,39000,True,0
301,39000,True,0
302,39000,True,0
303,39000,True,0
304,39000,True,0
305,39000,True,0
306,39000,True,0
307,39000,True,0
308,39000,True,0
309,39000,True,0
310,39000,True,0
